Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
18,Trading Companies & Distributors,Industrials,162.33,88,83,85,84,"AIT,DNOW,DXPE,KAMN,MSM,REZI,UNVR,URI,VRTV,WSO"
19,Leisure Facilities,Consumer Discretionary,161.72,87,65,87,96,SIX
20,Multi-Sector Holdings,Financials,157.51,87,88,75,71,"BRK.B,JEF"
21,Advertising,Communication Services,151.97,86,84,77,51,"IPG,OMC"
22,Specialty Stores,Consumer Discretionary,150.14,85,96,94,90,"AZO,BBWI,BNED,DKS,FIVE,GPC,HIBB,HZO,KMX,ODP,ORLY,SBH,SIG,TSCO,ULTA"
23,Steel,Materials,142.72,85,89,95,93,"ATI,CLF,CMC,CRS,HAYN,NUE,RS,STLD,SXC,TMST,WOR,X,ZEUS"
24,Consumer Finance,Financials,142.5,84,91,90,57,"AXP,COF,DFS,ECPG,ENVA,EZPW,FCFS,GDOT,NAVI,PRAA,SLM,SYF,WRLD"
25,Aluminum,Materials,141.24,83,47,79,89,"ARNC,CENX,KALU"
26,Retail REITs,Real Estate,137.93,83,79,89,65,"ADC,AKR,BFS,BRX,FRT,GTY,KIM,KRG,MAC,NNN,O,REG,ROIC,RPAI,RPT,SITC,SKT,SPG,SRC,UBA,UE,WSR"
27,Commodity Chemicals,Materials,133.6,82,57,45,59,"ASIX,DOW,HWKN,KOP,TG,VVV"
28,Diversified Banks,Financials,127.61,81,72,52,69,"BAC,BANF,C,CADE,CMA,JPM,LKFN,PRK,USB,WFC"
29,Regional Banks,Financials,115.26,81,59,53,71,"ABCB,ABTX,ASB,BANC,BANR,BHLB,BOH,BRKL,BXS,CATY,CBSH,CBU,CFG,CFR,CHCO,CIT,COLB,CPF,CUBI,CVBF,EGBN,EWBC,FBK,FBNC,FBP,FCF,FFBC,FFIN,FHB,FHN,FITB,FMBI,FNB,FRC,FULT,GBCI,GWB,HAFC,HBAN,HFWA,HOMB,HOPE,HTH,HWC,IBOC,IBTX,INDB,ISBC,KEY,MTB,NBHC,NBTB,OFG,ONB,OZK,PACW,PB,PFBC,PNC,PNFP,PPBI,RF,RNST,SBCF,SBNY,SBSI,SFBS,SFNC,SIVB,SNV,STBA,STL,TBBK,TBK,TCBI,TFC,TMP,TRMK,UBSI,UCBI,UMBF,UMPQ,VBTX,VLY,WABC,WBS,WSFS,WTFC,ZION"
30,Investment Banking & Brokerage,Financials,113.47,80,81,75,77,"EVR,GHL,GS,IBKR,MS,PIPR,RJF,SCHW,SF,SNEX"
31,Residential REITs,Real Estate,113.34,79,85,86,23,"ACC,AIRC,AVB,CPT,CSR,EQR,ESS,IRT,MAA,NXRT,UDR"
32,Movies & Entertainment,Communication Services,109.43,79,30,27,37,"CNK,DIS,FOX,FOXA,LYV,MCS,NFLX,VIAC,WWE"
33,Automobile Manufacturers,Consumer Discretionary,105.75,78,67,71,85,"F,GM,TSLA,WGO"
34,Casinos & Gaming,Consumer Discretionary,105.01,77,43,80,94,"BYD,CHDN,CZR,LVS,MCRI,MGM,PENN,SGMS,WYNN"
35,Diversified Metals & Mining,Materials,101.01,77,48,9,11,"CMP,HCC,MTRN"
36,Distributors,Consumer Discretionary,94.61,76,86,81,51,"LKQ,POOL"
37,Apparel Retail,Consumer Discretionary,93.96,75,89,96,92,"AEO,ANF,BKE,BOOT,CAL,CATO,CHS,DBI,FL,GCO,GES,GPS,PLCE,ROST,SCVL,TJX,URBN,VSCO,ZUMZ"
38,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,91.01,75,39,53,79,"CCL,CHH,HLT,MAR,NCLH,RCL,TNL,VAC,WH"
39,Multi-line Insurance,Financials,89.74,74,54,56,49,"AFG,AIZ,GNW,HMN,KMPR,L,LNC"
40,Forest Products,Materials,87.55,73,69,49,97,"LPX,MERC"
41,Thrifts & Mortgage Finance,Financials,86.16,73,45,38,57,"AX,BKU,CASH,CFFN,DCOM,ESNT,FBC,HMST,NFBK,NMIH,NWBI,NYCB,PBCT,PFS,TREE,TRST,WAFD,WD"
42,Footwear,Consumer Discretionary,85.65,72,95,91,85,"CROX,DECK,SHOO,SKX,WWW"
43,Diversified Chemicals,Materials,85.21,71,80,77,78,"ASH,CBT,CC,EMN,GCP,LTHM,OLN"
44,Health Care Facilities,Health Care,84.86,71,97,97,75,"ACHC,AMEH,CYH,DVA,EHC,ENSG,HCA,HNGR,JYNT,MODV,OPCH,SEM,THC,UHS,USPH"
