Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
60,Tools & Accessories,Industrials,92.57,63,48,51,25,"GFF,SCX,LECO,EML,TKR,SNA,SWK,TTC,KMT,CVR,TBLT"
61,Aerospace & Defense,Industrials,92.48,62,68,67,53,"BYRN,KAMN,SWBI,AVAV,TATT,VTSI,ERJ,BWXT,VSEC,AXON,TDG,HII,TXT,AIRI,TGI,SPR,WWD,GD,POWW,ATRO,LHX,KTOS,PKE,RTX,HEI,ISSC,AIR,POWWP,RDW,DCO,NPK,NOC,HXL,ESLT,LMT,EH,SIF,RGR,CAE,ASTC,IVAC,CODA,LILM,RKLB,CVU,BA,LILMW,MRCY,SPCE,UAVS,ASTR,DPRO"
62,Thermal Coal,Energy,92.43,62,63,83,99,"NRP,ARCH,ARLP,CEIX,BTU,NC,HNRG"
63,Asset Management,Financial Services,92.32,61,58,51,54,"PUYI,JXN,KKR,OWL,APO,ARES,CG,CTR,EMO,EDF,CEM,AMK,TWN,IFN,ACV,MPV,MCI,STEP,AMP,SCD,PFX,AIF,HLNE,VCTR,BX,FEN,FEI,FPL,ADX,APAM,GBDC,EOS,BAM,ARDC,CGO,BUR,KIO,CSWC,FIF,BGT,HTY,TTP,KYN,NDP,SSSS,GECC,EVF,AFT,FGB,MAIN,PGZ,PNNT,IIF,FPF,BK,EOI,BANX,CSQ,DSU,CCAP,BSL,FAM,EFT,PTY,BCSF,RGT,JHG,NTG,RCS,MSD,CGBD,SPE,CHW,HNW,VINP,DMO,HPS,SEIC,EFR,BST,JQC,JGH,PDI,BLK,BGH,VRTS,ETO,ETG,ETY,LGI,GAM,BGB,PCN,JFR,BGX,HYT,PHD,DHY,MXE,OXSQ,LDP,GLQ,SRV,CCD,TPZ,AMG,JLS,HPI,RIV,CIK,NIE,PGP,PEO,CHI,CET,MFV,DHF,HPF,BWG,CHY,BLW,FRA,JPC,ECC,NML,CEE,EOD,AVK,PDT,GRF,NHS,FFA,ACP,JEQ,RNP,GCMG,ISD,DSL,GDV,BTZ,PHT,FFC,GAIN,USA,NTRSO,PFN,GLO,FSD,KF,HYB,CNS,RVT,JOF,BKN,AWF,JCE,EMD,ETJ,NRO,BIT,OXLC,RAND,JPI,PFL,FCT,PSF,DFP,HIO,PHK,CION,HIE,MXF,EAD,FOF,EVG,EVV,GHY,MQY,SOR,FLC,IDE,TY,EXG,ASG,PCF,RMT,IAE,PFD,GLV,EEA,CIF,PFO,TSLX,KSM,NRK,CII,BSIG,IHD,MUA,ARCC,GRX,HYI,EVM,FMY,EVT,BGR,ENX,AGD,BOE,IGR,MUI,IGD,BGY,ETV,MYD,THQ,NFJ,BYM,HQL,GLAD,DBL,MYN,IGI,GGN,THW,NXJ,GBAB,STK,MHI,IGA,BME,MMT,EVN,MFM,AOD,MPA,EMF,JRS,MYI,FMN,AB,TROW,HQH,PFLT,DMF,FAX,OPP,TYG,EIM,ETB,OCCIO,NQP,MVF,BNY,MHN,BHV,FTF,SII,ETW,RFI,BFK,GAB,BLE,JMM,JHI,KTF,GDO,GGZ,OXLCO,MQT,ECCC,BFZ,MAV,NMT,CEV,ERC,NVG,MHF,MCR,NZF,MMU,FDUS,GOF,AFB,NAN,RQI,NKX,JRI,MUJ,CRF,MUC,BDJ,MHD,VVR,NAC,NXC,IQI,NPV,VPV,OXLCP,CMU,TEI,DSM,MUE,VFL,MIY,ETX,AEF,VCV,BKCC,CXE,EDD,GNT,MVT,PIM,VTN,SBI,SPXX,SWZ,LRFC,NBB,NBH,NMZ,AWP,EHI,NAZ,INSI,NMI,BTA,IAF,MFD,RMM,OXLCM,CXH,FSK,GDL,PPT,VBF,NXP,BHK,OIA,PZC,BBN,GGT,TRIN,NEA,PAI,IIM,PMX,LEO,WHF,PNI,DIAX,VMO,NCV,PAX,CBH,PMF,JHS,HEQ,NCZ,OFS,CLM,NMFC,PMM,NOM,NTRS,NNY,VGM,BXMX,VKI,TSI,PCK,NMS,VKQ,GLU,VLT,NCA,BTT,NAD,WIA,BKT,BEN,QQQX,WIW,NUV,OCCI,PCM,BTO,FHI,ECF,SCM,FUND,EOT,NUW,BCX,NIM,GCV,HTD,MIN,ASA,BRW,SLRC,DTF,PYN,BUI,PMO,UTF,DMB,UTG,MCN,HRZN,FT,PCQ,PML,NXN,MGF,MMD,EGF,TEAF,HNNA,FCO,GF,WEA,TURN,RA,VGI,CUBA,HIX,IVZ,BCV,ERH,STT,DNP,GROW,EQS,PNF,PSEC,CAF,SWKH,SAR,CHN,RCG,DHIL,TDF,DPG,GUT,SAMG,TCPC,ICMB,TPVG,HFRO,NEWT,NOAH,AAMC,LGHL,AINC,HYW"
64,Electronics & Computer Distribution,Technology,92.17,61,64,83,78,"SCSC,CNXN,AVT,ARW,TAIT"
65,Medical Instruments & Supplies,Healthcare,91.93,60,61,29,10,"FEMY,NYXH,PLSE,GKOS,STXS,ISRG,NEPH,LMAT,EKSO,COO,ALC,RGEN,WST,OSUR,BAX,RMD,STVN,BLFS,IRTC,MASI,HOLX,PDEX,HBIO,WRBY,MMSI,BDX,RVP,ATRI,INFU,OMIC,TFX,DXR,XRAY,AKYA,STAA,HAE,MLSS,ATRC,ICUI,UTMD,POAI,NVST,KRMD,NURO,NVCR,MBOT,ANGO"
66,Oil & Gas Equipment & Services,Energy,91.83,59,19,31,98,"GIFI,TDW,CCLP,AROC,NGS,WFRD,FTI,GEOS,DNOW,NR,USAC,LBRT,TS,WTTR,MRC,NOA,PFIE,WHD,HLX,VAL,SDPI,TTI,CHX,HAL,OII,SLB,XPRO,RNGR,BKR,NOV,SLCA,VTOL,SND,RES,SOI,DRQ,NCSM,BOOM,PUMP,FTK,DWSN,FET,MARPS,CLB,OIS,TUSK,TH,NINE,KLXE,NRT,ENSV,RCON"
67,Apparel Manufacturing,Consumer Cyclical,91.79,59,67,60,12,"VNCE,SGC,RL,PVH,LEVI,KTB,HBI,GIL,LAKE,OXM,CPRI,COLM,UA,UAA,XELB,JRSH,GOOS,VFC,FIGS,DLA"
68,Information Technology Services,Technology,91.3,58,73,77,65,"DTST,CSPI,PAY,AFRM,WYY,IBM,LDOS,SAIC,WIT,ACN,CDW,IT,FIS,RSSS,FLT,RAMP,BR,CACI,NSIT,INFY,FORTY,GIB,CTSH,UIS,EPAM,HCKT,JKHY,TLS,XRX,GDYN,SNX,PSFE,AI,TASK,NABL,EXLS,IIIV,DLB,CNDT,DMRC,IMXI,CLPS,GB,FLYW,USIO,DNB,CTLP,G,PRFT,TDC,DXC,PRTH,III,CLVT,WNS,GDS,INOD,NXTP,CNXC,ISDR,VNET,SABR,TWKS,TTEC"
69,Softwareâ€”Infrastructure,Technology,91.07,58,38,25,20,"ACIW,ARQQ,ADBE,ALTR,ALLT,AKAM,APPN,ARBE"
70,Internet Content & Information,Communication Services,90.95,57,49,47,45,"GRPN,EVER,MAX,JFIN,DASH,SMWB,SPOT,CANG,TME,TRUE,LZ,ABNB,CDLX,PINS,GOOG,GOOGL,Z,ZG,FENG,CMCM,NTES,GAIA,CARG,GENI,THRY,SCOR,ANGI,SSTK,YELP,SNAP,IAC,ATHM,YY,SOHU,TWLO,TTGT,MTCH,IZEA,DAO,BIDU,WB,DOYU,MOMO,IQ,LKCO,FVRR,ZH,PERI,TRVG,GROM,KRKR,TC,UXIN"
